Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
"5099950256624, 5025662",Sigur Rós,Hvarf - Heim,"EMI, EMI","xCD, Album, Dig",2007,13127065,Uncategorized,07/12/2019 23:08,12/07/2019,23:08:00,EMI,EMI,Same,CD,7
"591 711 2, 5917112",John Cale,Hobo Sapiens,"EMI, EMI","CD, Album",2003,625428,Uncategorized,07/12/2019 22:42,12/07/2019,22:42:00,EMI,EMI,Same,CD,4
"CDEM 673, 0946 3 41757 2 2",Sigur Rós,Hoppípolla,"EMI, EMI","CD, Single",2005,575702,Uncategorized,07/12/2019 22:52,12/07/2019,22:52:00,EMI,EMI,Same,CD,3
"CDEM 687, 0946 3 63100 2 2",Sigur Rós,Sæglópur,"EMI, EMI","CD, EP + DVD-V, PAL, Reg",2006,726773,Uncategorized,07/12/2019 23:02,12/07/2019,23:02:00,EMI,EMI,Same,CD,3
"EMC 3006, OC 062 o 94 519",Queen,Queen,"EMI, EMI","LP, Album",1973,847206,Uncategorized,22/11/2019 18:04,22/11/2019,18:04:00,EMI,EMI,Same,LP,40
"50999 5 10418 9 2, 5099951041892, 510 4189",Sigur Rós,Heima,"EMI, EMI, EMI","xDVD, PAL, DTS",2007,1138887,Uncategorized,07/12/2019 23:01,12/07/2019,23:01:00,EMI,"EMI, EMI",Different,"xDVD, PAL, DTS",6
EE001,Eli Keszler,Last Signs Of Speed,Empty Editions,"x"", Album",2016,9370389,Uncategorized,22/11/2019 23:30,22/11/2019,23:30:00,Empty Editions,,Different,"x"", Album",5
E2K 67486,Various,Home Alive -  The Art Of Self Defense,Epic,"xCD, Comp",1996,593350,Uncategorized,02/08/2020 17:35,08/02/2020,17:35:00,Epic,,Different,CD,4
"483980 2, EPC 483980 2",Screaming Trees,Dust,"Epic, Epic","CD, Album",1996,2309394,Uncategorized,07/12/2019 23:18,12/07/2019,23:18:00,Epic,Epic,Same,CD,2
eratp 146lp,Hans-Joachim Roedelius & Tim Story,4 Hands,Erased Tapes Records,"LP, Album, Ltd, Cle",2022,22425952,Uncategorized,21/09/2022 07:53,21/09/2022,07:53:00,Erased Tapes Records,,Different,LP,36
ERATP056LP,A Winged Victory For The Sullen,Atomos VII,Erased Tapes Records,"""",2014,5643951,Uncategorized,22/11/2019 13:58,22/11/2019,13:58:00,Erased Tapes Records,,Different,"""",6
ERATP123LP,The Art Ensemble Of Chicago,We Are On The Edge (A 50th Anniversary Celebration),Erased Tapes Records,"xLP, Album, Gat",2019,13957591,Uncategorized,03/11/2019 11:02,11/03/2019,11:02:00,Erased Tapes Records,,Different,LP,28
"eratp065lp, ERATP065LP",Nils Frahm,Solo,"Erased Tapes Records, Erased Tapes Records","LP, Album",2015,6870085,Uncategorized,23/11/2019 21:20,23/11/2019,21:20:00,Erased Tapes Records,Erased Tapes Records,Same,LP,48
4061,Eli Keszler,Oxtirn,ESP Disk,"LP, Ltd",2010,2555570,Uncategorized,23/11/2019 21:26,23/11/2019,21:26:00,ESP Disk,,Different,LP,22
"EVER11CD, Ever11CD",Amiina,Kurr,"Ever Records, Ever Records","CD, Album",2007,1015158,Uncategorized,07/12/2019 23:20,12/07/2019,23:20:00,Ever Records,Ever Records,Same,CD,6
F-8431,Vince Guaraldi Trio,A Charlie Brown Christmas ,Fantasy,"LP, Album, Ltd, Pic, RE, Gol",2022,24497939,Uncategorized,28/12/2022 03:01,28/12/2022,03:01:00,Fantasy,,Different,LP,40
FATCD06,Immense,Evil Ones And Zeroes,FatCat Records,"CD, Album",1999,166994,Uncategorized,25/12/2019 12:31,25/12/2019,12:31:00,FatCat Records,,Different,CD,3
fatcd11,Sigur Rós,Ágætis Byrjun,FatCat Records,"CD, Album, RE, Dig",0,3035062,Uncategorized,01/12/2019 00:23,12/01/2019,00:23:00,FatCat Records,,Different,CD,6
FATCD28,HiM,Many In High Places Are Not Well,FatCat Records,"CD, Album",2003,4442302,Uncategorized,07/12/2019 23:00,12/07/2019,23:00:00,FatCat Records,,Different,CD,6
FATOST-CD01,Hilmar Örn Hilmarsson & Sigur Rós,Angels Of The Universe,FatCat Records,"CD, Album, Car",2001,115878,Uncategorized,07/12/2019 22:03,12/07/2019,22:03:00,FatCat Records,,Different,CD,2
"dvd10fat02, 946.0102.178",Sigur Rós,Untitled #1 (Vaka),"FatCat Records, [PIAS] Recordings","CD, Single, Bla + DVD-V + Dig",2003,201724,Uncategorized,07/12/2019 22:54,12/07/2019,22:54:00,FatCat Records,[PIAS] Recordings,Different,CD,2
"fatcd22, piasv122cd, 946.0122.020",Sigur Rós,( ),"FatCat Records, [PIAS] Recordings, [PIAS] Recordings","CD, Album",2002,6345225,Uncategorized,07/12/2019 22:52,12/07/2019,22:52:00,FatCat Records,"[PIAS] Recordings, [PIAS] Recordings",Different,CD,6
"CDFAT039, cdfat039",Sigur Rós,Ný Batterí,"FatCat Records, FatCat Records","CD, Single, Car",2000,80388,Uncategorized,07/12/2019 23:08,12/07/2019,23:08:00,FatCat Records,FatCat Records,Same,CD,2
BLAZECD139,Bark Psychosis,400 Winters EP,Fire Records,"CD, EP, Ltd",2005,516905,Uncategorized,07/12/2019 23:09,12/07/2019,23:09:00,Fire Records,,Different,CD,5
FIRECD90,Bark Psychosis,Codename: Dustsucker,Fire Records,"CD, Album",2004,330239,Uncategorized,07/12/2019 23:09,12/07/2019,23:09:00,Fire Records,,Different,CD,4
FR-17,Es,A Love Cycle,Fonal Records,"CD, Album, RE",2006,928001,Uncategorized,25/12/2019 12:52,25/12/2019,12:52:00,Fonal Records,,Different,CD,4
FR-36,Islaja,Palaa Aurinkoon,Fonal Records,"CD, Album",2005,554782,Uncategorized,12/09/2023 01:30,09/12/2023,01:30:00,Fonal Records,,Different,CD,6
GR 2013,Various,Historische Aufnahmen - Historical Recordings 1,Gagarin Records,"LP, Comp",2011,2802590,Uncategorized,22/11/2019 23:32,22/11/2019,23:32:00,Gagarin Records,,Different,LP,18
GATE001,Kara-Lis Coverdale,A 480,Gate (6),"LP, Album, Ltd, RE, Whi",2021,16893399,Uncategorized,12/02/2022 12:25,02/12/2022,12:25:00,Gate (6),,Different,LP,33
"GATE002, GATE 002",Kara-Lis Coverdale,Aftertouches,"Gate (6), Gate (6)","LP, Album, Ltd, RE, Cle",2020,16340463,Uncategorized,03/01/2021 13:19,01/03/2021,13:19:00,Gate (6),Gate (6),Same,LP,18
B0002158-22,Sigur Rós,Ba Ba Ti Ki Di Do,Geffen Records,"CD, EP",2004,722178,Uncategorized,07/12/2019 23:08,12/07/2019,23:08:00,Geffen Records,,Different,CD,4
GEF 24536,Nirvana,In Utero,Geffen Records,"LP, Album",1993,1645681,Uncategorized,01/08/2020 12:11,08/01/2020,12:11:00,Geffen Records,,Different,LP,28
"GEF 24425, GEF 24425-8, GEF 24 425, DGC 24425, DGC",Nirvana,Nevermind,"Geffen Records, Geffen Records, Geffen Records, DGC, DGC, Sub Pop","LP, Album",1991,8015420,Uncategorized,01/08/2020 12:12,08/01/2020,12:12:00,Geffen Records,"Geffen Records, Geffen Records, DGC, DGC, Sub Pop",Different,LP,31
GI-18,Twine,Twine,Ghostly International,"CD, Album, Enh",2003,198712,Uncategorized,12/09/2023 00:59,09/12/2023,00:59:00,Ghostly International,,Different,CD,5
GI-390,Mary Lattimore,Collected Pieces: 2015–2020,Ghostly International,"xLP, Comp, Ltd, Gol",2022,21402460,Uncategorized,13/07/2022 07:25,13/07/2022,07:25:00,Ghostly International,,Different,LP,12
GRCD 499,Midnight Choir,Unsung Heroine,Glitterhouse Records,"CD, Album",2000,1387622,Uncategorized,07/12/2019 22:32,12/07/2019,22:32:00,Glitterhouse Records,,Different,CD,5
GRCD 573,Midnight Choir,Waiting For The Bricks To Fall,Glitterhouse Records,"CD, Album",2003,1387629,Uncategorized,07/12/2019 22:32,12/07/2019,22:32:00,Glitterhouse Records,,Different,CD,4
066574-2,Beth Gibbons & Rustin Man,Out Of Season,Go! Beat,"CD, Album",2002,13697860,Uncategorized,07/12/2019 23:18,12/07/2019,23:18:00,Go! Beat,,Different,CD,5
547805-2.,Arab Strap,Elephant Shoe,Go! Beat,"CD, Album",1999,8558767,Uncategorized,07/12/2019 22:36,12/07/2019,22:36:00,Go! Beat,,Different,CD,3
559 424-2,Portishead,Roseland NYC Live,Go! Beat,"CD, Album, RE, RP",1999,6934008,Uncategorized,07/12/2019 23:19,12/07/2019,23:19:00,Go! Beat,,Different,CD,4
7243 8 59110 2 6,Various,Tibetan Freedom Concert,"Grand Royal, Capitol Records","xCD + CD, Enh",1997,2318311,Uncategorized,30/07/2020 22:32,30/07/2020,22:32:00,Grand Royal,Capitol Records,Different,CD,3
LPGRON78,Harmonia,Live 1974,Grönland Records,"LP, Album, FK ",2007,1125574,Uncategorized,19/09/2022 04:26,19/09/2022,04:26:00,Grönland Records,,Different,LP,27
"LPGRONIII, 5065001040757",Neu!,Neu! '75,"Grönland Records, Grönland Records","LP, Album, RE",0,10955585,Uncategorized,19/09/2022 04:25,19/09/2022,04:25:00,Grönland Records,Grönland Records,Same,LP,12
HG1803,Kali Malone,Cast Of Mind,Hallow Ground,"LP, Album, Ltd, RE, Whi",2019,13682958,Uncategorized,24/07/2020 12:15,24/07/2020,12:15:00,Hallow Ground,,Different,LP,27
H.26,3/4HadBeenEliminated,A Year Of The Aural Gauge Operation,Häpna,"CD, Album",2005,727931,Uncategorized,28/11/2019 23:27,28/11/2019,23:27:00,Häpna,,Different,CD,3
H.29,Andrea Belfi,Between Neck & Stomach,Häpna,"CD, Album",2006,806558,Uncategorized,28/11/2019 23:28,28/11/2019,23:28:00,Häpna,,Different,CD,5
H.55,Oren Ambarchi & Johan Berthling,Tongue Tied,Häpna,"LP, Album + CD, Album",2015,7842078,Uncategorized,23/11/2019 15:40,23/11/2019,15:40:00,Häpna,,Different,CD,12
hatOLOGY 672,Polwechsel & John Tilbury,Field,hatOLOGY,"CD, Album",2009,1894474,Uncategorized,20/12/2019 10:48,20/12/2019,10:48:00,hatOLOGY,,Different,CD,3
HEFTY 059,radicalfashion,Odori,Hefty Records,"CD, Album",2007,889544,Uncategorized,12/09/2023 00:55,09/12/2023,00:55:00,Hefty Records,,Different,CD,7
HAFTW008,The Caretaker,An Empty Bliss Beyond This World,History Always Favours The Winners,"CD, Album, RE, RP",2019,14008727,Uncategorized,07/05/2021 06:16,05/07/2021,06:16:00,History Always Favours The Winners,,Different,CD,3
HAFTW013-LP,The Caretaker,Patience (After Sebald),History Always Favours The Winners,"LP, Album",2012,3355859,Uncategorized,10/04/2021 06:01,04/10/2021,06:01:00,History Always Favours The Winners,,Different,LP,28
HAFTW026-LP,The Caretaker,Everywhere At The End Of Time - Stage 2,History Always Favours The Winners,"LP, Album",2017,10094003,Uncategorized,18/02/2021 07:54,18/02/2021,07:54:00,History Always Favours The Winners,,Different,LP,39
HAFTW027-LP,The Caretaker,Everywhere At The End Of Time - Stage 3,History Always Favours The Winners,"LP, Album",2017,10924527,Uncategorized,18/02/2021 07:56,18/02/2021,07:56:00,History Always Favours The Winners,,Different,LP,10
HAFTW028-LP,The Caretaker,Everywhere At The End Of Time - Stage 4,History Always Favours The Winners,"xLP, Album, Ltd",2018,11823437,Uncategorized,29/05/2021 02:49,29/05/2021,02:49:00,History Always Favours The Winners,,Different,LP,37
HAFTW029,The Caretaker,Everywhere At The End Of Time - Stage 5,History Always Favours The Winners,"xLP, Album, Ltd",2018,12551815,Uncategorized,29/05/2021 02:50,29/05/2021,02:50:00,History Always Favours The Winners,,Different,LP,10
LIFT 071,Sigmatropic,Sixteen Haiku & Other Stories,Hitch-Hyke Records,"CD, Album, Enh + CD, Ltd",2003,653616,Uncategorized,12/09/2023 01:05,09/12/2023,01:05:00,Hitch-Hyke Records,,Different,CD,2
51962,Cloudland Canyon / Lichens,Exterminating Angel,Holy Mountain,"CD, Album",2007,1191742,Uncategorized,12/09/2023 01:28,09/12/2023,01:28:00,Holy Mountain,,Different,CD,5
21852,Six Organs Of Admittance,For Octavio Paz,Holy Mountain,"CD, Album",2004,467418,Uncategorized,12/09/2023 00:52,09/12/2023,00:52:00,Holy Mountain,,Different,CD,3
HJRLP106,Moondog (2),More Moondog,Honest Jon's Records,"LP, Album, RE, RM",2009,1741524,Uncategorized,12/11/2019 21:12,11/12/2019,21:12:00,Honest Jon's Records,,Different,LP,36
HOS-485,Dedekind Cut,American Zen,Hospital Productions,"x"", EP, Ltd, Cle",2017,10226661,Uncategorized,02/11/2019 11:23,11/02/2019,11:23:00,Hospital Productions,,Different,"x"", EP, Ltd, Cle",5
HDB100,Burial,Young Death / Nightmarket,Hyperdub,"""",2016,9412422,Uncategorized,12/11/2019 21:12,11/12/2019,21:12:00,Hyperdub,,Different,"""",6
ida027,Matt Elliott,Drinking Songs,Ici D'Ailleurs,"CD, Album",2005,5635019,Uncategorized,07/12/2019 22:45,12/07/2019,22:45:00,Ici D'Ailleurs,,Different,CD,7
IDA060,This Immortal Coil,The Dark Age Of Love,Ici d'ailleurs,"CD, Album",2009,5440169,Uncategorized,12/09/2023 00:57,09/12/2023,00:57:00,Ici d'ailleurs,,Different,CD,4
"IDA030, reverb 78, none",Yann Tiersen & Shannon Wright,Yann Tiersen & Shannon Wright,"Ici D'Ailleurs, Vicious Circle (2), Discograph","CD, Dig",2004,5261424,Uncategorized,07/12/2019 22:39,12/07/2019,22:39:00,Ici D'Ailleurs,"Vicious Circle (2), Discograph",Different,CD,7
iDEAL048,Aleph-1,Aleph-1,iDEAL Recordings,"CD, Album",2007,1201371,Uncategorized,01/12/2019 00:28,12/01/2019,00:28:00,iDEAL Recordings,,Different,CD,7
iDEAL192,Kali Malone,The Sacrificial Code,iDEAL Recordings,"xLP, Album",2019,13826331,Uncategorized,14/02/2020 11:32,14/02/2020,11:32:00,iDEAL Recordings,,Different,LP,16
SOMA025,The Necks,Unfold,Ideologic Organ,"xLP, Album",2017,9759017,Uncategorized,23/11/2019 18:32,23/11/2019,18:32:00,Ideologic Organ,,Different,LP,31
SOMA050,Kali Malone Featuring Stephen O'Malley & Lucy Railton,Does Spring Hide Its Joy,Ideologic Organ,"xLP, Album",2023,25784089,Uncategorized,30/03/2023 11:16,30/03/2023,11:16:00,Ideologic Organ,,Different,LP,44
SOMA052,"Chris Abrahams, Oren Ambarchi, Robbie Avenaim",Placelessness,Ideologic Organ,LP,2023,28227799,Uncategorized,02/11/2023 09:47,11/02/2023,09:47:00,Ideologic Organ,,Different,LP,29
ITE 001,Slow Six,Private Times In Public Places,If.Then.Else Records,"CD, Album",2004,820204,Uncategorized,01/12/2019 00:29,12/01/2019,00:29:00,If.Then.Else Records,,Different,CD,5
ICM 06,Robert Henke,Layering Buddha,Imbalance Computer Music,"CD, Album",2006,812408,Uncategorized,01/12/2019 00:11,12/01/2019,00:11:00,Imbalance Computer Music,,Different,CD,7
Immune 010,Rafael Anton Irisarri,Reverie,Immune,"LP, MiniAlbum, Ltd, Cle",2010,2218962,Uncategorized,22/11/2019 23:31,22/11/2019,23:31:00,Immune,,Different,LP,24
imprec045,Piano Magic,Open Cast Heart EP,Important Records (2),"CD, EP",2005,619004,Uncategorized,07/12/2019 22:40,12/07/2019,22:40:00,Important Records (2),,Different,CD,7
IMPREC129,Larsen And Various,ABECEDA,Important Records (2),"CD, Album + DVD-V, NTSC",2007,1081220,Uncategorized,28/11/2019 23:29,28/11/2019,23:29:00,Important Records (2),,Different,CD,6
imprec228,Anahita,Matricaria,Important Records (2),"CD, Album",2009,1772997,Uncategorized,12/09/2023 01:02,09/12/2023,01:02:00,Important Records (2),,Different,CD,2
"IMPREC227, DCA26361",Strings Of Consciousness & Angel (3),Strings Of Consciousness & Angel,"Important Records (2), DCA (3)","CD, Album",2009,1624124,Uncategorized,25/11/2019 00:12,25/11/2019,00:12:00,Important Records (2),DCA (3),Different,CD,4
6.02E+11,Sons Of Kemet,Black To The Future,Impulse!,"xLP, Album",2021,18665626,Uncategorized,29/05/2021 02:50,29/05/2021,02:50:00,Impulse!,,Different,LP,46
6.02E+11,Irreversible Entanglements,Protect Your Light,Impulse!,LP,2023,28184356,Uncategorized,20/10/2023 03:18,20/10/2023,03:18:00,Impulse!,,Different,LP,36
B0027970-01,Sons Of Kemet,Your Queen Is A Reptile,"Impulse!, Verve Records","xLP, Album",2018,11770803,Uncategorized,02/11/2019 11:20,11/02/2019,11:20:00,Impulse!,Verve Records,Different,LP,28
IP025,Saåad,Verdaillon,In Paradisum,"LP, Album",2016,8988571,Uncategorized,22/11/2019 16:43,22/11/2019,16:43:00,In Paradisum,,Different,LP,32
INFECT65CD,The Paradise Motel,Flight Paths,Infectious Records,"CD, Album",1998,2240631,Uncategorized,07/12/2019 23:03,12/07/2019,23:03:00,Infectious Records,,Different,CD,7
IF-102LP,Coil,Sara Dale's Sensual Massage,Infinite Fog Productions,"xLP, Album, Ltd",2020,15926060,Uncategorized,25/08/2021 19:04,25/08/2021,19:04:00,Infinite Fog Productions,,Different,LP,43
IF-108LP,Coil,The New Backwards,Infinite Fog Productions,"xLP, Album, Ltd, RE, Whi",2022,22649384,Uncategorized,21/09/2022 07:55,21/09/2022,07:55:00,Infinite Fog Productions,,Different,LP,30
IF-111LP,Coil,The Ape Of Naples,Infinite Fog Productions,"xLP, Album, Ltd, RE, Whi",2022,25196758,Uncategorized,01/02/2023 11:55,02/01/2023,11:55:00,Infinite Fog Productions,,Different,LP,39
IF104LP,Coil,Love's Secret Domain,Infinite Fog Productions,"xLP, Album, Dlx, RE, RM, Gol",2021,18588718,Uncategorized,02/07/2021 06:00,07/02/2021,06:00:00,Infinite Fog Productions,,Different,LP,32
CLASSIC047LP,Innercity Ensemble,III ,Instant Classic,"LP, Album",2016,10941045,Uncategorized,22/11/2019 23:28,22/11/2019,23:28:00,Instant Classic,,Different,LP,41
Intakt CD 120,Sylvie Courvoisier,Lonelyville,Intakt Records,"CD, Album",2007,1757701,Uncategorized,25/11/2019 00:17,25/11/2019,00:17:00,Intakt Records,,Different,CD,3
IMRC0061,Angel Bat Dawid,Requiem For Jazz,Intergalactic Mantra Recording Co.,"xLP, Album, Ltd, M/Print, Pur",2023,26522912,Uncategorized,25/03/2023 11:02,25/03/2023,11:02:00,Intergalactic Mantra Recording Co.,,Different,LP,23
"IMRC 0037, IMRC0037",Angel Bat Dawid & Tha Brothahood,Live,"Intergalactic Mantra Recording Co., Intergalactic Mantra Recording Co., Rundfunk Berlin-Brandenburg, !K7 Records","xLP, Album, Ltd, Red",2021,17868796,Uncategorized,19/04/2021 23:58,19/04/2021,23:58:00,Intergalactic Mantra Recording Co.,"Intergalactic Mantra Recording Co., Rundfunk Berlin-Brandenburg, !K7 Records",Different,LP,21
IARC0025,Damon Locks Black Monument Ensemble,Where Future Unfolds,International Anthem Recording Company,"LP, Album",2019,13814931,Uncategorized,06/02/2020 15:10,02/06/2020,15:10:00,International Anthem Recording Company,,Different,LP,39
IARC0028,Junius Paul,Ism,International Anthem Recording Company,"xLP, Album",2019,14432366,Uncategorized,14/02/2020 11:36,14/02/2020,11:36:00,International Anthem Recording Company,,Different,LP,14
IARC0039,Damon Locks Black Monument Ensemble,Now,International Anthem Recording Company,"LP, Album, Cri",2021,19249390,Uncategorized,17/08/2021 23:33,17/08/2021,23:33:00,International Anthem Recording Company,,Different,LP,12
IARC0041 ,Jaimie Branch,Fly Or Die Live,International Anthem Recording Company,"xLP, Ltd, Bro",2021,20553568,Uncategorized,13/11/2021 06:11,13/11/2021,06:11:00,International Anthem Recording Company,,Different,LP,15
IARC0066,Jaimie Branch,Fly Or Die Fly Or Die Fly Or Die ((World War)),International Anthem Recording Company,"LP, Album, Ltd, Gre",2023,28081618,Uncategorized,02/11/2023 09:47,11/02/2023,09:47:00,International Anthem Recording Company,,Different,LP,40
IMRC 0032,Angel Bat Dawid,Transition East,International Anthem Recording Company,""", Single, Ltd, Out",2020,15522128,Uncategorized,10/07/2020 19:27,07/10/2020,19:27:00,International Anthem Recording Company,,Different,""", Single, Ltd, Out",4
IMRC0023,Angel Bat Dawid,The Oracle,International Anthem Recording Company,"LP, Album, Ltd, Cry",2019,14217380,Uncategorized,22/11/2019 18:01,22/11/2019,18:01:00,International Anthem Recording Company,,Different,LP,46
"IARC 0049, DG-252",Irreversible Entanglements,Open The Gates,"International Anthem Recording Company, Don Giovanni Records","xLP, Album",2021,20978035,Uncategorized,15/12/2021 13:47,15/12/2021,13:47:00,International Anthem Recording Company,Don Giovanni Records,Different,LP,33
"IARC0014, DG-157",Irreversible Entanglements,Irreversible Entanglements,"International Anthem Recording Company, Don Giovanni Records","LP, Album",2017,11242590,Uncategorized,03/11/2019 10:51,11/03/2019,10:51:00,International Anthem Recording Company,Don Giovanni Records,Different,LP,13
"IARC0031, DG-202",Irreversible Entanglements,Who Sent You?,"International Anthem Recording Company, Don Giovanni Records","LP, Ltd, Mar",2020,14846994,Uncategorized,03/03/2020 15:13,03/03/2020,15:13:00,International Anthem Recording Company,Don Giovanni Records,Different,LP,13
"IARC 0011, IARC0011",Jaimie Branch,Fly Or Die,"International Anthem Recording Company, International Anthem Recording Company","LP, Album",2017,10212529,Uncategorized,04/05/2018 12:29,05/04/2018,12:29:00,International Anthem Recording Company,International Anthem Recording Company,Same,LP,12
"IARC 0027, IARC0027",Jaimie Branch,Fly Or Die II: Bird Dogs Of Paradise,"International Anthem Recording Company, International Anthem Recording Company","LP, Album, Ltd, Psy",2019,14315348,Uncategorized,22/11/2019 18:01,22/11/2019,18:01:00,International Anthem Recording Company,International Anthem Recording Company,Same,LP,22
"IARC 0034, IARC0034",Anteloper,Tour Beats Vol. 1,"International Anthem Recording Company, International Anthem Recording Company",""", Red",2020,15988606,Uncategorized,06/11/2020 23:42,11/06/2020,23:42:00,International Anthem Recording Company,International Anthem Recording Company,Same,""", Red",3
INTR 017,aMute,The Sea Horse Limbo,Intr_version Records,"CD, Album",2006,836964,Uncategorized,01/12/2019 00:26,12/01/2019,00:26:00,Intr_version Records,,Different,CD,6
1793179,Portishead,Magic Doors,Island Records,""", S/Sided, Etch",2008,1570666,Uncategorized,31/10/2019 23:13,31/10/2019,23:13:00,Island Records,,Different,""", S/Sided, Etch",7
981 687-8,Tindersticks,Working For The Man,Island Records,"xCD, Comp, Ltd, Sli",2004,580891,Uncategorized,28/11/2019 23:22,28/11/2019,23:22:00,Island Records,,Different,CD,7
981 688-1,Tindersticks,Tindersticks,Island Records,"CD, Album, RE, RM + CD, RM",2004,1386318,Uncategorized,28/11/2019 23:19,28/11/2019,23:19:00,Island Records,,Different,CD,3
981 688-4,Tindersticks,Tindersticks,Island Records,"xCD, Album, RE, RM",2004,1510729,Uncategorized,28/11/2019 23:28,28/11/2019,23:28:00,Island Records,,Different,CD,3
981 689-0,Tindersticks,Nénette Et Boni,Island Records,"CD, Album, RE + CD, Comp, RE + Comp",2004,2469945,Uncategorized,25/12/2019 12:38,25/12/2019,12:38:00,Island Records,,Different,CD,3
981 689-3,Tindersticks,Simple Pleasure,Island Records,"CD, Album + CD, Comp + RE, RM",2004,1510739,Uncategorized,28/11/2019 23:18,28/11/2019,23:18:00,Island Records,,Different,CD,2
B0018490-01,Nick Drake,Five Leaves Left,Island Records,"LP, Album, RE, RM, URP",2013,13942315,Uncategorized,14/02/2020 11:34,14/02/2020,11:34:00,Island Records,,Different,LP,26
"CID 756, 562 307-2",Tindersticks,Can We Start Again?,"Island Records, Island Records","CD, Single, CD",1999,1198498,Uncategorized,28/11/2019 23:28,28/11/2019,23:28:00,Island Records,Island Records,Same,CD,7
"CID 760, 562 499-2",dEUS,The Ideal Crash,"Island Records, Island Records","CD, EP",1999,1437252,Uncategorized,07/12/2019 23:16,12/07/2019,23:16:00,Island Records,Island Records,Same,CD,6
"CID 8074, 524 588-2",Tindersticks,Donkeys 92 - 97,"Island Records, Island Records","CD, Comp",1998,6124410,Uncategorized,14/12/2019 17:52,14/12/2019,17:52:00,Island Records,Island Records,Same,CD,6
"CIDX756, 562 308-2",Tindersticks,Can We Start Again?,"Island Records, Island Records","CD, Single, CD",1999,1648624,Uncategorized,25/12/2019 12:43,25/12/2019,12:43:00,Island Records,Island Records,Same,CD,6
9849276,Tindersticks,BBC Sessions,"Island Records, Universal Music Catalogue, BBC","xCD, Album, Comp",2007,1152597,Uncategorized,20/12/2019 10:40,20/12/2019,10:40:00,Island Records,"Universal Music Catalogue, BBC",Different,CD,6
"jw10001, Jazzwerkstatt 10001","Peter Brötzmann, Marino Pliakas, Michael Wertmüller : Full Blast (2)",Full Blast,"Jazzwerkstatt, Jazzwerkstatt","LP, Album, RE, Gat",2013,4771337,Uncategorized,02/11/2019 11:14,11/02/2019,11:14:00,Jazzwerkstatt,Jazzwerkstatt,Same,LP,45
TWA39CD,Seaworthy (2),The Ride,Jetset Records,"CD, Album",2002,2672998,Uncategorized,25/12/2019 12:36,25/12/2019,12:36:00,Jetset Records,,Different,CD,4
KLCD057,Port-Royal,Dying In Time,Klik Records,"CD, Album, Ltd",2009,2938670,Uncategorized,20/12/2019 10:48,20/12/2019,10:48:00,Klik Records,,Different,CD,5
50999 9 66014 1 9,Kraftwerk,Autobahn,"Kling Klang, Parlophone","LP, Album, Ltd, RE, RM, RP, S/Edition, Blu",2020,16029375,Uncategorized,12/06/2021 11:06,06/12/2021,11:06:00,Kling Klang,Parlophone,Different,LP,22
KOMPAKT CD 50,Klimek,Music To Fall Asleep,Kompakt,"CD, Album",2006,654207,Uncategorized,12/09/2023 01:27,09/12/2023,01:27:00,Kompakt,,Different,CD,2
KOMPAKT CD 69,Various,Pop Ambient 2009,Kompakt,"CD, Comp",2009,1655668,Uncategorized,12/09/2023 01:07,09/12/2023,01:07:00,Kompakt,,Different,CD,4
KOMPAKT CD66,Gas,Nah Und Fern,Kompakt,"CD, Album, RE, RM + CD, Album, RE, RM + CD, Album,",2008,3678100,Uncategorized,25/12/2019 12:42,25/12/2019,12:42:00,Kompakt,,Different,CD,5
KRANK 026,Jessica Bailiff,Even In Silence,Kranky,"CD, Album",1998,73750,Uncategorized,07/12/2019 22:45,12/07/2019,22:45:00,Kranky,,Different,CD,7
krank 027,Godspeed You Black Emperor!,F♯ A♯ ∞,Kranky,"CD, Album, M/Print, RE, RM",1998,9550389,Uncategorized,25/12/2019 12:48,25/12/2019,12:48:00,Kranky,,Different,CD,4
KRANK 034,Godspeed You Black Emperor!,Slow Riot For New Zerø Kanada E.P.,Kranky,"CD, EP",1999,8391236,Uncategorized,07/12/2019 22:38,12/07/2019,22:38:00,Kranky,,Different,CD,5
krank 038,Jessica Bailiff,Hour Of The Trace,Kranky,"CD, Album",1999,74465,Uncategorized,07/12/2019 22:22,12/07/2019,22:22:00,Kranky,,Different,CD,7
KRANK 097,Jessica Bailiff,Feels Like Home,Kranky,"CD, Album",2006,735945,Uncategorized,07/12/2019 22:21,12/07/2019,22:21:00,Kranky,,Different,CD,5
KRANK 116,Valet,Naked Acid,Kranky,"CD, Album",2008,1256732,Uncategorized,28/11/2019 23:31,28/11/2019,23:31:00,Kranky,,Different,CD,7
KRANK 117,Cloudland Canyon,Lie In Light,Kranky,"CD, Album",2008,1348118,Uncategorized,12/09/2023 01:10,09/12/2023,01:10:00,Kranky,,Different,CD,4
KRANK 125,Windy & Carl,Songs For The Broken Hearted,Kranky,"CD, Album",2008,1488923,Uncategorized,20/12/2019 10:47,20/12/2019,10:47:00,Kranky,,Different,CD,3
KRANK 177,Grouper,The Man Who Died In His Boat,Kranky,"LP, Album",2013,4243365,Uncategorized,02/11/2019 11:07,11/02/2019,11:07:00,Kranky,,Different,LP,37
