Catalog#,Artist,Title,Label,Format,Released,release_id,CollectionFolder,Date Added,date,Time,Label1,Label2,Same_label,Format_category,Value
5.10E+12,Jónsi,Go,Parlophone,"CD, Album, Exp + DVD, NTSC",2010,2244929,Uncategorized,07/12/2019 22:54,12/07/2019,22:54:00,Parlophone,,Different,CD,5
7243 532767 2 0,Radiohead,Amnesiac,Parlophone,"CD, Album, Ltd, Boo",2001,835328,Uncategorized,25/12/2019 13:06,25/12/2019,13:06:00,Parlophone,,Different,CD,7
7243 8 29626 2 5,Radiohead,The Bends,Parlophone,"CD, Album",1995,866247,Uncategorized,07/12/2019 22:27,12/07/2019,22:27:00,Parlophone,,Different,CD,3
7243 8 55229 2 5,Radiohead,OK Computer,Parlophone,"CD, Album",1997,492632,Uncategorized,07/12/2019 23:06,12/07/2019,23:06:00,Parlophone,,Different,CD,5
P735 5059,Sigur Rós,Valtari Film Experiment,"Parlophone, Krúnk","DVD-V, NTSC, Dig",2013,4384896,Uncategorized,01/12/2019 00:29,12/01/2019,00:29:00,Parlophone,Krúnk,Different,"DVD-V, NTSC, Dig",4
"7243 4 96014 2 0, 496014 2",Sparklehorse,Good Morning Spider,"Parlophone, Parlophone","CD, Album, Dig",1998,7592284,Uncategorized,07/12/2019 22:34,12/07/2019,22:34:00,Parlophone,Parlophone,Same,CD,3
"7243 5 36616 2 5, CDFHEIT 45104",Radiohead,I Might Be Wrong - Live Recordings,"Parlophone, Parlophone","CD, EP",2001,6766451,Uncategorized,07/12/2019 22:34,12/07/2019,22:34:00,Parlophone,Parlophone,Same,CD,2
"7243 5 40504 2 8, 540 5042",Coldplay,A Rush Of Blood To The Head,"Parlophone, Parlophone","CD, Album",2002,5022555,Uncategorized,07/12/2019 23:17,12/07/2019,23:17:00,Parlophone,Parlophone,Same,CD,7
"CDRS 6394, 7243 8 81737 2 8",Radiohead,My Iron Lung E.P.,"Parlophone, Parlophone","CD, EP, CD",1994,233600,Uncategorized,07/12/2019 23:21,12/07/2019,23:21:00,Parlophone,Parlophone,Same,CD,6
PP26,Áine O'Dwyer,Gegenschein,Penultimate Press,"LP, Album, RE",2017,9833644,Uncategorized,22/11/2019 23:01,22/11/2019,23:01:00,Penultimate Press,,Different,LP,12
PP27,Áine O'Dwyer,Locusts,Penultimate Press,"LP, Album, RE",2017,9833630,Uncategorized,22/11/2019 23:01,22/11/2019,23:01:00,Penultimate Press,,Different,LP,19
"PHLP12, MUT9935-1",DA-AC,Illusion Of Time,"Phantasy Sound, Mute","LP, Album, Ltd, Mag",2020,14979532,Uncategorized,16/05/2020 21:38,16/05/2020,21:38:00,Phantasy Sound,Mute,Different,LP,36
ZIQ091CD,Julian Fane,Special Forces,Planet Mu,"CD, Album",2004,299876,Uncategorized,12/09/2023 01:19,09/12/2023,01:19:00,Planet Mu,,Different,CD,2
PRLP2,Drøne,Reversing Into The Future,Pomperipossa Records,"LP, Album, Ltd",2016,8260451,Uncategorized,22/11/2019 23:03,22/11/2019,23:03:00,Pomperipossa Records,,Different,LP,14
