Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
SINS 1CD,Tindersticks,What Is A Man,Beggars Banquet,"CD, Single",,2000,745408,Uncategorized,14/12/2019 17:52,,,
BBQCD 215,Mark Lanegan,I'll Take Care Of You,"Beggars Banquet, Sub Pop","CD, Album",,1999,10248243,Uncategorized,02/08/2020 17:35,,,
BELLACD 92,Art Of Fighting,Second Storey,Bella Union,"CD, Album",,2005,568228,Uncategorized,07/12/2019 22:44,,,
ATONAL007,Mika Vainio,2.5082E+16,Berlin Atonal Recordings,"2xLP, Album, Ltd",,2020,17439628,Uncategorized,12/02/2022 23:36,,,
BINE 018CD,Scanner,"Rockets, Unto The Edges Of Edges",BineMusic,"CD, Album",,2009,1772971,Uncategorized,01/12/2019 00:31,,,
"bmr103, ECT ENTS 029",Foetus,Vein,"Birdman Records, Ectopic Ents","CD, Album, Enh",,2007,1073070,Uncategorized,12/09/2023 01:19,,,
BT01,Oren Ambarchi,Stacte.3,Black Truffle,"CD, Album, RE, RM",,2009,1655976,Uncategorized,01/12/2019 00:25,,,
BT046,Phew / Oren Ambarchi / Jim O'Rourke,Patience Soup,Black Truffle,LP,,2019,13469568,Uncategorized,23/11/2019 15:50,,,
BT083,Oren Ambarchi,Live Hubris,Black Truffle,"LP, Album, Ltd, Pin",,2021,21247897,Uncategorized,17/12/2021 10:59,,,
BLACKESTLP014,Raime,Tooth,Blackest Ever Black,"2x12"", Album, 180",,2016,8630107,Uncategorized,22/11/2019 15:30,,,
BF-024,Don Cherry,The Summer House Sessions,Blank Forms Editions,"LP, Album",,2021,20978656,Uncategorized,12/02/2022 12:24,,,
"BF-023, 023",Don Cherry's New Researches Featuring Naná Vasconcelos,Organic Music Theatre (Festival De Jazz De Chateauvallon 1972),"Blank Forms Editions, Blank Forms Editions, INA","2xLP, Album",,2021,21053551,Uncategorized,07/01/2022 14:00,,,
BFFP144CD,Labradford,Mi Media Naranja,Blast First,"CD, Album",,1997,30396,Uncategorized,28/11/2019 23:29,,,
12,Sarah Hennies,Embedded Environments,Blume,"LP, Album, Ltd, Oli",,2018,11732848,Uncategorized,22/11/2019 13:54,,,
13,Alvin Curran,Canti Illuminati,Blume,"LP, Album, RE, Whi",,2019,13258159,Uncategorized,23/11/2019 21:14,,,
SIDRA05LP,Oren Ambarchi & Robbie Avenaim,Dream Request,Bo'Weavil Recordings,"LP, Ltd",,2011,2938724,Uncategorized,12/08/2022 15:20,,,
BK12X1204,Kara-Lis Coverdale,Grafts,Boomkat Editions,"LP, Album, RE, Ext",,2020,15640835,Uncategorized,22/07/2020 11:55,,,
BKEDIT015COL,Akira Rabelais,Spellewauerynsherde,Boomkat Editions,"LP, Ltd, Cle",,2017,10686275,Uncategorized,22/11/2019 14:42,,,
BKEDIT021,Laura Cannell And Polly Wright,Sing As The Crow Flies,Boomkat Editions,"LP, Album, Cle",,2021,19155094,Uncategorized,08/02/2023 04:56,,,
BPC193CD,AGF/Delay,Symptoms,BPitch Control,"CD, Album",,2009,1677333,Uncategorized,24/11/2019 15:36,,,
HWY-010,Clogs,Lantern,Brassland,"CD, Album",,2006,2263171,Uncategorized,14/12/2019 17:57,,,
BB 340,Hans-Joachim Roedelius,Tape Archive Essence 1973-1978,Bureau B,"LP, Comp",,2020,15135005,Uncategorized,27/04/2020 13:30,,,
BB029,Cluster & Brian Eno,Cluster & Eno,Bureau B,"LP, Album, RE, RM",,2009,1966269,Uncategorized,12/11/2019 21:13,,,
0946 3 70946 2 4,Sparklehorse,Dreamt For Light Years In The Belly Of A Mountain,Capitol Records,"CD, Album, RE",,0,6391499,Uncategorized,07/12/2019 22:33,,,
